diva_name,album_name,release_year,album_image_url
Taylor Swift,Fearless,2008,https://i.scdn.co/image/ab67616d0000b2737b25c072237f29ee50025fdc
Taylor Swift,Taylor Swift,2006,https://i.scdn.co/image/ab67616d0000b2732f8c0fd72a80a93f8c53b96c
Ariana Grande,eternal sunshine,2024,https://i.scdn.co/image/ab67616d0000b2738b58d20f1b77295730db15b4
Ariana Grande,Positions,2021,https://i.scdn.co/image/ab67616d0000b2739508fb7ca2eedc0d98b9139f
Ariana Grande,"thank u, next",2019,https://i.scdn.co/image/ab67616d0000b27356ac7b86e090f307e218e9c8
Ariana Grande,Sweetener,2018,https://i.scdn.co/image/ab67616d0000b273c3af0c2355c24ed7023cd394
Ariana Grande,Dangerous Woman,2016,https://i.scdn.co/image/ab67616d0000b2732e651648db439a9b5995e065
Ariana Grande,My Everything,2014,https://i.scdn.co/image/ab67616d0000b273deec12a28d1e336c5052e9aa
Ariana Grande,Yours Truly,2013,https://i.scdn.co/image/ab67616d0000b2734bb9f35da9ff34b1e2314d8e
Jennifer Lopez,This Is Me...Now,2024,https://i.scdn.co/image/ab67616d0000b273c55a2100e9a5bb8cc5eba05c
Jennifer Lopez,A.K.A.,2014,https://i.scdn.co/image/ab67616d0000b273112a6d273b1bf33f327ab07f
Jennifer Lopez,Love?,2011,https://i.scdn.co/image/ab67616d0000b273d7b2aa3834b82b1cbe899a48
Jennifer Lopez,Brave,2007,https://i.scdn.co/image/ab67616d0000b2737c6f96a1f715a10d7243ae21
Jennifer Lopez,Como Ama Una Mujer,2007,https://i.scdn.co/image/ab67616d0000b2739c5d4ca754b41bc43d978a6c
Jennifer Lopez,Rebirth,2005,https://i.scdn.co/image/ab67616d0000b27337311a3d837d4511354275d1
Jennifer Lopez,This Is Me...Then,2002,https://i.scdn.co/image/ab67616d0000b273c0d17a37386e6891cc4d8877
Jennifer Lopez,J.Lo,2001,https://i.scdn.co/image/ab67616d0000b273bfa0a1de59696c7a6fe15ebb
Kylie Minogue,Tension II,2024,https://i.scdn.co/image/ab67616d0000b27354edef3a089727a9cebe1b5e
Kylie Minogue,Tension,2023,https://i.scdn.co/image/ab67616d0000b27397382c8f649a621b96bbb819
Kylie Minogue,DISCO,2020,https://i.scdn.co/image/ab67616d0000b273730fba727eec2fc4dfd06a11
Kylie Minogue,Golden,2018,https://i.scdn.co/image/ab67616d0000b273cf07eedc8d255d1c99689035
Kylie Minogue,Kylie Christmas,2015,https://i.scdn.co/image/ab67616d0000b2732bbcf33a95421f7580aa47b6
Kylie Minogue,Kiss Me Once,2014,https://i.scdn.co/image/ab67616d0000b273deac5c398a040a00ab94a17a
Kylie Minogue,Aphrodite,2010,https://i.scdn.co/image/ab67616d0000b27399849713610d149c941616ac
Kylie Minogue,X,2007,https://i.scdn.co/image/ab67616d0000b27337f56380785f06cf15a6b57e
Kylie Minogue,Body Language,2003,https://i.scdn.co/image/ab67616d0000b273fe60deff5866e6225d50f721
Kylie Minogue,Impossible Princess,2003,https://i.scdn.co/image/ab67616d0000b2735e773bf0de3f9f1ec7e93d14
Kylie Minogue,Fever,2001,https://i.scdn.co/image/ab67616d0000b2735d6121285c42ea4535e59048
Kylie Minogue,Light Years,2000,https://i.scdn.co/image/ab67616d0000b273b4bafae67d95046f07a9debd
Kylie Minogue,Kylie Minogue,1994,https://i.scdn.co/image/ab67616d0000b27332f9edb368bb57d39397a01e
Kylie Minogue,Let's Get to It,1991,https://i.scdn.co/image/ab67616d0000b273cbb8a867090dce740f05d6d9
Kylie Minogue,Rhythm of Love,1990,https://i.scdn.co/image/ab67616d0000b273ff2a72366adc19d1b30794b0
Kylie Minogue,Enjoy Yourself,1989,https://i.scdn.co/image/ab67616d0000b27324dddda3ec007029dd7a59a3
Shakira,Las Mujeres Ya No Lloran,2024,https://i.scdn.co/image/ab67616d0000b2737501431ca5326c536f90610c
Shakira,Laundry Service: Washed and Dried,2021,https://i.scdn.co/image/ab67616d0000b2739015cb1108929d137daeaa4d
Shakira,El Dorado,2017,https://i.scdn.co/image/ab67616d0000b27329c44676782c0b6864131161
Shakira,Shakira.,2014,https://i.scdn.co/image/ab67616d0000b2737d949f3caae8a2b3b7e63b16
Shakira,Sale el Sol,2010,https://i.scdn.co/image/ab67616d0000b2734214ddc9e33e76de6a8ee888
Shakira,She Wolf,2009,https://i.scdn.co/image/ab67616d0000b273fca4cb3216d3db3e533b07b3
Shakira,Laundry Service,2001,https://i.scdn.co/image/ab67616d0000b2731f400a1f4d821b00824cf58f
Shakira,Donde Estan Los Ladrones,1998,https://i.scdn.co/image/ab67616d0000b273bfcff1dd252b22bba16a2a5d
Shakira,Pies Descalzos,1995,https://i.scdn.co/image/ab67616d0000b273021b9779a9dbaa6a976edb2d
Dua Lipa,Radical Optimism,2024,https://i.scdn.co/image/ab67616d0000b273778c1e4660aa23f6728b32a1
Dua Lipa,Future Nostalgia,2020,https://i.scdn.co/image/ab67616d0000b2732172b607853fa89cefa2beb4
Dua Lipa,Dua Lipa,2017,https://i.scdn.co/image/ab67616d0000b273838698485511bd9108fadadc
Katy Perry,143,2024,https://i.scdn.co/image/ab67616d0000b273c21cdbedd49f4a5809cf7be9
Katy Perry,Smile,2020,https://i.scdn.co/image/ab67616d0000b2735ebe6cbd74a47a5e8ea88985
Katy Perry,Witness,2017,https://i.scdn.co/image/ab67616d0000b273cce6bab1f59b165133175d88
Katy Perry,PRISM,2013,https://i.scdn.co/image/ab67616d0000b2731e9a057052d59004caf47e22
Katy Perry,Teenage Dream,2010,https://i.scdn.co/image/ab67616d0000b273d5f3739fca04299590fffe59
Katy Perry,One Of The Boys,2008,https://i.scdn.co/image/ab67616d0000b273cd3978ebe35d93a07249b97f
ROSALÍA,LUX,2025,https://i.scdn.co/image/ab67616d0000b27393ee2e2f2dfb7de9befcc164
ROSALÍA,MOTOMAMI,2022,https://i.scdn.co/image/ab67616d0000b2730c179967a265de0fc76382fe
ROSALÍA,El Mal Querer,2018,https://i.scdn.co/image/ab67616d0000b273f4d64a6a6b7e24b6bd9f009f
ROSALÍA,Los Ángeles,2017,https://i.scdn.co/image/ab67616d0000b273c76ccdb32228d3ea38a9f5d6
Cher,Christmas,2023,https://i.scdn.co/image/ab67616d0000b273975b86124c181e9477f0d154
Cher,Dancing Queen,2018,https://i.scdn.co/image/ab67616d0000b273c18bdd34c7fa70dfaf9c81db
Cher,Closer to the Truth,2013,https://i.scdn.co/image/ab67616d0000b273701bef7a4d8ed83ff5bfc8a4
Cher,Living Proof,2001,https://i.scdn.co/image/ab67616d0000b273c39fcfeef1b32b78b583172a
Cher,Believe,1998,https://i.scdn.co/image/ab67616d0000b27306ce0d1f846c525e847d60e7
Cher,It's a Man's World,1995,https://i.scdn.co/image/ab67616d0000b2739b71f1c105d7814e1d2329c6
Cher,Love Hurts,1991,https://i.scdn.co/image/ab67616d0000b273401035ff4d67022fa4c0fad0
Cher,Heart Of Stone,1989,https://i.scdn.co/image/ab67616d0000b2737a1e0215c41f0ce411623301
Cher,Cher,1987,https://i.scdn.co/image/ab67616d0000b273cdcfaeab11454a21b88d3318
Cher,I Paralyze,1982,https://i.scdn.co/image/ab67616d0000b2731ca0a5dc0aa0e3e91f7836d0
Cher,Prisoner,1979,https://i.scdn.co/image/ab67616d0000b2737a907e49a2664c988107986c
Cher,Take Me Home,1979,https://i.scdn.co/image/ab67616d0000b2737f43a5e874fdcf585ec626e7
Cher,Dark Lady,1974,https://i.scdn.co/image/ab67616d0000b273adb809bc080b729ce950d174
Cher,Bittersweet White Light,1973,https://i.scdn.co/image/ab67616d0000b27390b35f1657fb59d248edffef
Cher,Half-Breed,1973,https://i.scdn.co/image/ab67616d0000b273517f6c519515c9774a0f61a3
